City,Country,Temperature,Humidity,Cloudiness,Windspeed,Date,Longitude,Latitude
Jamestown,US,69.8,56,1,11.41,1593101995,-79.24,42.1
Mineiros,BR,79.84,50,28,12.06,1593101995,-52.55,-17.57
Constantine,DZ,91.4,27,40,12.75,1593101995,6.61,36.37
Busselton,AU,54.0,66,16,10.0,1593101995,115.33,-33.65
Sooke,CA,62.01,87,20,2.15,1593101995,-123.73,48.37
Vaini,TO,71.6,88,40,4.7,1593101995,-175.2,-21.2
Cape Town,ZA,62.01,82,90,17.22,1593101995,18.42,-33.93
Hermanus,ZA,64.99,57,0,1.99,1593101995,19.23,-34.42
Saint Paul Harbor,US,50.0,87,90,16.11,1593101995,-152.41,57.79
Uyemskiy,RU,62.6,51,20,11.18,1593101995,40.85,64.47
Cabo San Lucas,MX,93.2,51,5,5.82,1593101835,-109.91,22.89
Bethel,US,81.0,39,1,8.05,1593101995,-73.41,41.37
Ushuaia,AR,35.6,69,40,19.46,1593101705,-68.3,-54.8
Hamilton,US,82.0,44,1,11.41,1593101995,-84.53,39.18
Mashhad,IR,86.0,14,20,9.17,1593101990,59.61,36.3
Ribeira Grande,PT,69.8,73,20,21.92,1593101995,-28.7,38.52
Bredasdorp,ZA,66.2,48,0,5.82,1593101995,20.04,-34.53
Nizhniy Kuranakh,RU,58.66,77,100,3.74,1593101995,125.49,58.84
Saint-Philippe,RE,71.6,78,36,14.99,1593101995,55.77,-21.36
San Patricio,MX,95.0,59,75,11.41,1593101995,-104.7,19.22
San Vicente,AR,63.45,100,99,5.91,1593101995,-54.13,-26.62
Chokurdakh,RU,55.96,56,7,9.66,1593101996,147.92,70.63
Lebu,CL,49.3,82,95,6.02,1593101996,-73.65,-37.62
Hobart,AU,46.99,75,75,5.82,1593101996,147.33,-42.88
Kapaa,US,73.4,100,40,5.82,1593101996,-159.32,22.08
Pa Sang,TH,77.0,88,75,2.24,1593101996,98.94,18.53
Mar del Plata,AR,48.2,87,75,10.29,1593101996,-57.56,-38.0
Nemuro,JP,51.31,96,100,8.88,1593101996,145.57,43.32
Tagusao,PH,79.34,77,88,4.68,1593101996,117.81,9.19
Klaksvík,FO,53.6,81,61,9.17,1593101996,-6.59,62.23
Los Llanos de Aridane,ES,77.0,57,20,19.46,1593101996,-17.92,28.66
San Quintín,MX,64.76,78,100,3.67,1593101996,-115.95,30.48
Albany,US,80.6,32,40,10.29,1593101996,-73.97,42.6
Kieta,PG,79.74,73,98,6.6,1593101996,155.63,-6.22
Mataura,NZ,39.0,83,1,3.0,1593101996,168.86,-46.19
Turan,VN,86.0,62,20,3.36,1593101719,108.22,16.07
Ucluelet,CA,57.99,100,90,3.36,1593101836,-125.55,48.93
Leningradskiy,RU,32.74,96,100,1.05,1593101996,178.42,69.38
Mount Gambier,AU,39.2,93,2,1.12,1593101996,140.77,-37.83
Port Elizabeth,ZA,73.0,27,0,10.38,1593101869,25.57,-33.92
Bengkulu,ID,76.95,85,97,4.43,1593101997,102.27,-3.8
Rio Grande,BR,57.2,93,90,20.8,1593101698,-52.1,-32.03
Mabaruma,GY,80.64,91,99,4.92,1593101997,-59.78,8.2
Turochak,RU,60.08,88,29,0.47,1593101997,87.12,52.26
Narsaq,GL,44.6,87,75,5.82,1593101997,-46.05,60.92
Barrow,US,33.8,86,90,16.11,1593101773,-156.79,71.29
Osakarovka,KZ,64.99,49,100,11.16,1593101997,72.57,50.56
Lompoc,US,59.0,93,90,2.77,1593101997,-120.46,34.64
Shache,CN,76.05,19,0,6.87,1593101997,77.24,38.42
Lac du Bonnet,CA,73.71,54,82,9.31,1593101997,-96.06,50.25
Adrar,MR,110.16,6,0,18.37,1593101997,-10.07,20.5
Iqaluit,CA,50.0,61,20,5.82,1593101997,-68.51,63.75
Qaanaaq,GL,38.12,81,56,0.38,1593101997,-69.36,77.48
Constitución,CL,53.17,72,46,2.19,1593101997,-72.42,-35.33
Port Alfred,ZA,73.18,28,0,9.95,1593101997,26.89,-33.59
Severo-Kuril'sk,RU,46.85,74,16,10.4,1593101997,156.12,50.68
Punta Arenas,CL,37.4,74,75,5.82,1593101997,-70.92,-53.15
